Body keypoints: Array<T>::toString():
366.310272 44.607922 0.946063 
367.479401 66.582191 0.904820 
346.698822 65.372032 0.860462 
316.131439 69.010048 0.823414 
336.957123 50.649994 0.840219 
387.169250 67.789780 0.854524 
413.986145 73.951477 0.874534 
395.623474 54.279297 0.916995 
363.846436 131.427734 0.831362 
346.787720 131.386475 0.857533 
344.297028 173.014084 0.834007 
338.232971 210.924683 0.899703 
377.336334 132.610626 0.842341 
377.362244 176.651184 0.836939 
376.140198 210.897263 0.960210 
362.641144 43.259453 0.887264 
371.205170 43.285103 0.882027 
357.705627 44.538513 0.412742 
379.774353 44.584492 0.807628 
385.833557 220.698105 0.903382 
387.113525 219.438766 0.930573 
372.439972 213.360947 0.782960 
332.034821 219.544769 0.855795 
328.331482 218.262589 0.907401 
344.269287 215.801956 0.766095 





Body keypoints: Array<T>::toString():
289.222534 44.607975 0.940185 
289.174286 66.592880 0.901022 
268.398987 65.353004 0.875078 
239.084030 70.212296 0.845215 
259.865875 50.649643 0.862748 
308.864471 69.027290 0.852950 
335.740143 75.166206 0.852211 
317.395996 54.337631 0.916777 
286.749268 128.968857 0.794235 
269.652466 128.979309 0.800640 
275.751099 171.775635 0.820077 
281.888611 210.934601 0.864546 
299.070038 128.960434 0.789672 
310.055939 170.529297 0.853350 
327.137543 210.878952 0.928790 
286.752930 43.255672 0.905198 
296.530487 43.287441 0.904398 
278.243011 44.558105 0.840323 
302.672119 44.607323 0.813005 
338.185272 220.680359 0.876368 
340.604004 218.246414 0.844148 
322.285583 215.799698 0.780336 
273.346802 220.737534 0.841432 
269.682037 219.460770 0.895561 
288.000580 215.799652 0.813746 


Body keypoints: Array<T>::toString():
289.243164 44.528244 0.960121 
290.487579 66.553596 0.876514 
269.662109 65.350433 0.879527 
240.319641 71.429871 0.863922 
259.906433 51.875118 0.894208 
313.709045 66.592926 0.830955 
336.952332 73.931641 0.921536 
317.382172 53.037495 0.887046 
289.249359 131.362854 0.835142 
275.747253 130.199814 0.756312 
273.339050 171.816223 0.835530 
278.272003 209.727493 0.914688 
306.363129 131.393723 0.807471 
306.357727 171.815598 0.853429 
303.914764 210.911499 0.835101 
286.788696 42.057114 0.891148 
296.545441 42.076000 0.881837 
279.500183 43.364754 0.528712 
303.906433 44.497341 0.822242 
307.617401 220.680130 0.873817 
313.682190 219.471359 0.807460 
299.017365 214.607208 0.779924 
277.014923 219.498352 0.816231 
