Body keypoints: Array<T>::toString():
247.638962 43.370605 0.949054 
250.114441 71.447754 0.930181 
229.268555 70.242340 0.877149 
219.495224 101.992722 0.904380 
218.254364 130.151199 0.865315 
273.333008 71.451836 0.840848 
280.688080 99.613533 0.868095 
290.457306 125.310791 0.850965 
252.519135 133.835327 0.798512 
239.002060 133.875153 0.785158 
240.256088 179.122147 0.898381 
242.727661 212.204849 0.842621 
268.475311 132.683533 0.846522 
268.444946 176.660110 0.856936 
268.452393 213.360977 0.891044 
240.337036 40.860992 0.897853 
251.296356 38.409645 0.861699 
237.827652 44.496468 0.618395 
261.103363 43.258953 0.896584 
285.546814 224.393021 0.792098 
285.581207 220.730270 0.830456 
262.327332 219.423477 0.854927 
240.334274 226.826965 0.804474 
236.614319 223.157410 0.765974 
247.605423 218.229691 0.776734 


Body keypoints: Array<T>::toString():
242.760147 43.352261 0.914131 
248.885284 71.404877 0.920517 
228.014069 69.009010 0.827538 
217.049469 100.780548 0.835083 
213.405655 127.713524 0.816862 
270.876434 71.424789 0.858227 
279.455078 99.576485 0.884354 
289.223511 125.301857 0.882751 
250.087372 132.659103 0.842591 
235.405197 132.682831 0.771606 
239.067963 180.287277 0.907260 
241.558304 213.364609 0.841528 
267.210236 132.635162 0.815031 
268.406097 176.653900 0.856810 
268.443878 213.379761 0.886882 
239.081863 40.879288 0.905880 
248.866867 37.236897 0.905172 
234.181656 44.518772 0.387810 
259.813904 42.089714 0.895384 
285.528839 224.412659 0.794272 
285.569275 220.741943 0.830331 
262.318665 219.455704 0.858974 
240.338623 226.808670 0.807103 
236.599380 223.147263 0.772149 
247.589615 218.252396 0.758930 


Body keypoints: Array<T>::toString():
294.098633 44.576931 0.894787 
283.101013 72.667633 0.888107 
268.461639 71.415337 0.880634 
259.937103 100.805069 0.864114 
268.416718 131.439117 0.928633 
297.828125 73.902863 0.927612 
298.977051 105.696770 0.847726 
308.799500 131.403931 0.907986 
284.353577 132.688751 0.787093 
278.211212 133.844559 0.774547 
297.762939 174.245026 0.890366 
279.455994 215.806732 0.846183 
289.295532 133.830902 0.828533 
278.193268 174.254135 0.817208 
