Body keypoints: Array<T>::toString():
411.150726 241.066055 0.918109 
392.858887 345.671021 0.857247 
309.102661 343.209412 0.808254 
259.484619 465.958588 0.881846 
201.965561 489.709351 0.900546 
484.325806 345.759735 0.805638 
513.124573 450.319397 0.825855 
531.381470 494.906738 0.842767 
387.606995 555.039673 0.713112 
330.024323 554.986206 0.665745 
262.057587 711.945923 0.684201 
193.961349 889.853516 0.706469 
447.764435 557.576050 0.663645 
471.215576 690.990479 0.611526 
489.501892 860.984375 0.695843 
387.698059 220.322128 0.915614 
426.837708 220.254150 0.960609 
348.418518 241.157562 0.914573 
445.055756 238.415604 0.312413 
513.111023 928.968750 0.370662 
526.253906 915.901489 0.411265 
473.911316 874.106323 0.551386 
162.658157 955.214539 0.227125 
152.174744 931.754517 0.216226 
194.050140 908.096802 0.495321 


Body keypoints: Array<T>::toString():
411.114014 241.051773 0.925944 
392.855774 345.656647 0.854106 
309.098541 343.225098 0.808073 
259.501465 463.457886 0.874861 
201.978165 492.155945 0.894615 
484.322723 345.716522 0.809922 
513.147705 450.352325 0.817654 
531.399780 494.858459 0.847321 
387.621582 554.948853 0.717355 
330.059906 554.953003 0.660654 
262.069885 706.702881 0.702069 
193.969955 889.835815 0.728267 
447.764862 554.983643 0.665954 
471.251160 693.578552 0.626342 
489.466278 858.421387 0.712622 
387.681946 220.315872 0.908136 
426.849426 220.287537 0.951789 
348.406342 241.126953 0.919795 
445.103577 238.525238 0.416496 
507.932770 926.389648 0.341098 
518.366699 910.751587 0.407135 
473.960388 871.503296 0.561984 
160.060104 955.209106 0.268457 
152.192093 931.717590 0.272801 
196.580246 908.080811 0.500887 


Body keypoints: Array<T>::toString():
411.117004 241.048813 0.924548 
392.856140 345.642548 0.852477 
306.617035 343.208984 0.808829 
259.476624 463.466827 0.876640 
201.915421 492.148438 0.896487 
484.345764 345.707062 0.813868 
513.099121 447.791382 0.843230 
531.361633 494.794128 0.861184 
387.604401 554.963806 0.715823 
330.041382 554.949646 0.664047 
261.976654 714.547180 0.704829 
193.976135 889.850098 0.716518 
447.746735 554.989868 0.668947 
471.224731 685.765381 0.600608 
489.484344 855.822998 0.715371 
387.677551 220.307770 0.911351 
426.843903 220.263138 0.953764 
