Body keypoints: Array<T>::toString():
364.151489 84.158493 0.879657 
343.169098 201.884781 0.872232 
256.800568 204.549805 0.770121 
241.162125 348.429291 0.850669 
222.797989 489.627289 0.885891 
429.437500 199.341476 0.848777 
450.339355 327.464569 0.830251 
473.964600 466.083099 0.845205 
348.356323 492.254730 0.602253 
295.990875 497.432892 0.547482 
301.139374 701.422180 0.632925 
303.802643 879.341309 0.806622 
406.002777 492.220612 0.614371 
418.951630 693.625549 0.664526 
426.942291 866.232971 0.805443 
343.108582 60.669460 0.865637 
384.922028 68.448341 0.898827 
301.210236 73.778076 0.943365 
398.094879 73.851692 0.256257 
466.106934 921.191895 0.662375 
471.407227 908.145752 0.737947 
411.139008 876.734558 0.696855 
264.639404 931.564697 0.735000 
259.337646 923.724976 0.671981 
319.626709 887.264893 0.752900 


Body keypoints: Array<T>::toString():
364.079193 81.626404 0.877985 
343.142487 201.917801 0.863669 
256.744873 207.135620 0.762373 
241.177322 350.939941 0.835956 
222.814713 489.549072 0.875783 
429.438843 199.334076 0.847875 
450.367188 327.494843 0.823739 
473.945770 466.022430 0.838924 
348.365112 492.240112 0.595871 
293.457977 494.831085 0.539247 
301.148438 698.896851 0.662249 
301.380737 881.879028 0.806099 
408.441284 492.205322 0.601771 
418.990417 693.649475 0.661452 
426.939758 866.212708 0.809919 
343.047272 60.686234 0.856773 
384.870941 68.421608 0.886303 
301.198181 73.770973 0.948855 
398.083130 73.843948 0.282368 
468.553223 918.601929 0.675970 
473.919159 908.067688 0.739905 
411.117767 876.704468 0.702091 
262.163422 931.602173 0.723323 
256.856445 923.778320 0.664571 
319.546814 889.706604 0.740210 


Body keypoints: Array<T>::toString():
366.604980 84.226349 0.880506 
343.129791 201.937332 0.860267 
256.736847 207.136368 0.761820 
241.151489 356.182007 0.833181 
222.785873 489.521576 0.873199 
429.433777 199.348892 0.844910 
450.400543 330.057404 0.812043 
473.972534 468.551361 0.845667 
348.386871 492.195740 0.588881 
293.447144 492.250092 0.534737 
301.143829 701.501404 0.663898 
301.400238 881.890442 0.815763 
408.469910 492.166351 0.603233 
418.971985 691.031311 0.663955 
426.937897 866.240723 0.816893 
343.195282 60.691601 0.876255 
384.958038 68.442688 0.902362 
301.245117 73.721718 0.957536 
400.624786 73.718521 0.226706 
466.103882 918.588684 0.678598 
473.964417 908.072693 0.750666 
411.133362 876.724487 0.715726 
264.695465 931.590088 0.727051 
259.380798 923.750793 0.678795 
319.568298 889.688416 0.762983 


Body keypoints: Array<T>::toString():
366.678253 84.243469 0.872904 
343.237640 201.945236 0.866598 
256.871826 207.155640 0.777434 
241.228989 351.034424 0.835752 
225.403580 489.492279 0.855964 
432.035828 199.358444 0.830985 
450.453461 330.059906 0.809964 
473.981415 466.106659 0.841746 
348.388672 492.215302 0.602497 
293.452545 492.277069 0.547221 
298.704468 698.892151 0.653220 
301.380188 879.360107 0.796760 
408.482635 492.206299 0.609541 
421.538177 696.197815 0.676354 
426.931519 866.222168 0.814636 
343.237671 60.663494 0.881624 
385.103424 65.924522 0.897507 
301.387970 73.721451 0.970628 
403.239655 73.754150 0.267816 
468.634216 921.170837 0.699173 
473.986969 908.097107 0.754744 
411.116241 876.693420 0.718271 
264.666748 931.578857 0.705978 
259.332062 923.733215 0.657652 
319.535614 889.706238 0.727673 


Body keypoints: Array<T>::toString():
369.386841 81.629875 0.833300 
345.840240 201.992950 0.845467 
261.970001 204.570511 0.795232 
243.808533 351.033020 0.797969 
228.079178 486.997864 0.818071 
434.739899 201.906021 0.794608 
453.087006 332.670624 0.776782 
479.158203 466.115112 0.811428 
356.198578 497.434509 0.567790 
301.203735 502.680817 0.568158 
301.243256 706.662048 0.677998 
301.399506 881.880981 0.804836 
411.186584 494.852936 0.584611 
426.692535 701.436157 0.725380 
426.938934 866.268738 0.825019 
345.869873 58.044960 0.864566 
390.173004 65.915199 0.884769 
303.992798 73.690086 0.966796 
406.039703 73.760002 0.158980 
466.105621 918.546936 0.680518 
473.947754 908.054749 0.759135 
411.130615 876.734497 0.699006 
264.678619 931.576782 0.702553 
259.356750 921.213562 0.651506 
319.535034 889.706116 0.747180 


Body keypoints: Array<T>::toString():
411.132080 86.786674 0.859664 
366.745972 201.930801 0.870199 
301.185638 199.320129 0.800601 
282.863892 350.948456 0.851866 
285.548431 487.023682 0.850052 
437.294006 212.301117 0.786564 
450.295074 337.889801 0.784236 
489.458160 453.038330 0.832078 
387.698883 502.687469 0.588818 
343.213440 505.324097 0.576650 
324.768951 704.104858 0.713260 
303.798492 884.489014 0.828474 
434.722412 500.051788 0.579019 
437.326172 701.435059 0.746253 
429.398254 866.301208 0.834385 
387.571625 65.932953 0.886513 
426.875824 68.539902 0.918728 
345.633759 76.410004 0.931504 
0.000000 0.000000 0.000000 
466.077515 921.130981 0.703569 
473.947571 908.102356 0.774775 
411.122681 879.272339 0.737779 
264.752350 931.613708 0.723667 
259.428741 923.786438 0.682310 
319.548584 889.833801 0.726562 


Body keypoints: Array<T>::toString():
424.153290 86.781219 0.848644 
366.819366 201.917969 0.857057 
303.907227 199.211533 0.819145 
295.990082 353.646759 0.775765 
319.623077 489.536774 0.872106 
432.014648 212.394089 0.813941 
445.055542 345.724335 0.720677 
471.228699 468.615814 0.872202 
387.525330 505.312408 0.641491 
343.071198 505.315979 0.586853 
324.818115 698.871155 0.737790 
303.786835 884.470764 0.819397 
429.553528 502.696289 0.634119 
434.701019 701.400269 0.762242 
429.435791 868.770142 0.825950 
395.450653 68.403152 0.837901 
429.596497 68.437660 0.905822 
348.392181 76.447319 0.890554 
0.000000 0.000000 0.000000 
468.566071 921.189453 0.707044 
474.004944 908.130310 0.763926 
411.162903 879.360962 0.713385 
267.334991 931.586121 0.706408 
259.470062 923.738647 0.668737 
319.539886 889.771790 0.732348 


Body keypoints: Array<T>::toString():
424.209045 89.339737 0.862985 
369.252686 201.882690 0.856438 
303.849609 199.220474 0.808649 
293.432953 348.436981 0.791605 
324.944672 481.777374 0.824365 
432.119781 212.299835 0.802110 
445.179108 345.719849 0.741915 
466.089813 468.565826 0.800386 
385.019257 497.496216 0.634233 
340.565430 500.101379 0.580750 
324.741028 696.192078 0.725298 
303.794556 881.904602 0.819233 
429.433380 497.427460 0.644620 
429.585999 698.731934 0.758511 
429.353607 866.302979 0.834476 
398.071838 68.469627 0.849323 
432.061005 68.546379 0.916856 
350.969116 78.968124 0.864599 
0.000000 0.000000 0.000000 
466.112427 918.602173 0.702497 
473.954102 908.077820 0.769180 
408.633881 879.337219 0.741802 
267.314240 931.588440 0.695083 
259.443268 923.753662 0.666098 
319.541107 889.716797 0.735328 


Body keypoints: Array<T>::toString():
411.106445 84.228386 0.857622 
371.913757 199.416229 0.839468 
301.195099 199.204697 0.824723 
277.665436 343.244873 0.852303 
282.945465 471.290344 0.842373 
